Account Number,As of Date,Company,Ihub Balance,GL  balance,Deviation,AU,Currency,Match Status,IsAnamoly,Comments
99449,02-Mar-25,Ford,2000,1000,1000,4398,USD,Break,yes,Inconsistent varitions in out standing balances
99550,03-Mar-25,Ford,3000,500,500,4398,USD,Break,Yes,Inconsistent variations in outstanding balances
99660,04-Mar-25,Ford,1500,500,500,4398,USD,Break,Yes,Inconsistent variations in outstanding balances
99770,03-Mar-25,Ford,2800,1000,1000,4398,USD,Break,Yes,Inconsistent variations in outstanding balances
99880,03-Mar-25,Ford,4000,1000,1000,4398,USD,Break,Yes,Inconsistent variations in outstanding balances
,,,,,,,,,,
History Data,,,,,,,,,,
Account Number,Ihub Balance,GL  balance,Deviation,Match Status,,,,,,
99449,2000,1000,1000,Break,,,,,,
99449,2000,2000,0,Match,,,,,,
99449,5000,4000,1000,Break,,,,,,
99449,6000,8000,-2000,Break,,,,,,
99449,7000,7000,0,Match,,,,,,
99449,8000,6000,2000,Break,,,,,,
99550,3000,2500,500,Break,,,,,,
99550,4000,4000,0,Match,,,,,,
99550,6000,5000,1000,Break,,,,,,
99550,7000,8000,-1000,Break,,,,,,
99550,9000,9000,0,Match,,,,,,
99660,1500,1000,500,Break,,,,,,
99660,2500,2500,0,Match,,,,,,
99660,4500,3500,1000,Break,,,,,,
99660,5000,6000,-1000,Break,,,,,,
99660,7000,7000,0,Match,,,,,,
99770,2800,1800,1000,Break,,,,,,
99770,3200,3200,0,Match,,,,,,
99770,5200,4200,1000,Break,,,,,,
99770,6500,7500,-1000,Break,,,,,,
99770,7700,7700,0,Match,,,,,,
99880,4000,3000,1000,Break,,,,,,
99880,5000,5000,0,Match,,,,,,
99880,7000,6000,1000,Break,,,,,,
99880,8000,9000,-1000,Break,,,,,,
99880,10000,10000,0,Match,,,,,,
